国家,
2005/12/5,21.7
2005/12/6,22.15
2005/12/7,21.7
2005/12/8,21.05
2005/12/9,20.8
2005/12/10,#N/A
2005/12/11,#N/A
2005/12/12,21.3
2005/12/13,21.65
2005/12/14,21.35
2005/12/15,21.4
2005/12/16,21.2
2005/12/17,#N/A
2005/12/18,#N/A
2005/12/19,21.05
2005/12/20,21.5
2005/12/21,21.45
2005/12/22,21.3
2005/12/23,21
2005/12/24,#N/A
2005/12/25,#N/A
2005/12/26,#N/A
2005/12/27,#N/A
2005/12/28,21.55
2005/12/29,21.65
2005/12/30,21.7
2005/12/31,#N/A
2006/1/1,#N/A
2006/1/2,#N/A
2006/1/3,22.3
2006/1/4,22.6
2006/1/5,23
2006/1/6,23.55
2006/1/7,#N/A
2006/1/8,#N/A
2006/1/9,23.25
2006/1/10,23.25
2006/1/11,23.25
2006/1/12,23.5
2006/1/13,23.4
2006/1/14,#N/A
2006/1/15,#N/A
2006/1/16,23.35
2006/1/17,24.55
2006/1/18,25.7
2006/1/19,25.9
2006/1/20,27.1
2006/1/21,#N/A
2006/1/22,#N/A
2006/1/23,26.25
2006/1/24,25.55
2006/1/25,25.95
2006/1/26,26.7
2006/1/27,26.1
2006/1/28,#N/A
2006/1/29,#N/A
2006/1/30,26.7
2006/1/31,26.7
2006/2/1,27.15
2006/2/2,27.7
2006/2/3,27.95
2006/2/4,#N/A
2006/2/5,#N/A
2006/2/6,27.7
2006/2/7,26.6
2006/2/8,26.15
2006/2/9,26.45
2006/2/10,26.65
2006/2/11,#N/A
2006/2/12,#N/A
2006/2/13,26.2
2006/2/14,26.35
2006/2/15,26.7
2006/2/16,27
2006/2/17,26.75
2006/2/18,#N/A
2006/2/19,#N/A
2006/2/20,27.15
2006/2/21,27.4
2006/2/22,27.35
2006/2/23,26.8
2006/2/24,26.75
2006/2/25,#N/A
2006/2/26,#N/A
2006/2/27,26.3
2006/2/28,26.55
2006/3/1,27
2006/3/2,27.25
2006/3/3,27.2
2006/3/4,#N/A
2006/3/5,#N/A
2006/3/6,27.15
2006/3/7,26.7
2006/3/8,26.85
2006/3/9,26.8
2006/3/10,27
2006/3/11,#N/A
2006/3/12,#N/A
2006/3/13,27.5
2006/3/14,27.25
2006/3/15,27.05
2006/3/16,26.7
2006/3/17,26.95
2006/3/18,#N/A
2006/3/19,#N/A
2006/3/20,27.15
2006/3/21,27.1
2006/3/22,27.15
2006/3/23,27.15
2006/3/24,26.95
2006/3/25,#N/A
2006/3/26,#N/A
2006/3/27,26.8
2006/3/28,26.95
2006/3/29,27.2
2006/3/30,27.35
2006/3/31,27.3
2006/4/1,#N/A
2006/4/2,#N/A
2006/4/3,27.35
2006/4/4,27.75
2006/4/5,28.8
2006/4/6,29.3
2006/4/7,28.8
2006/4/8,#N/A
2006/4/9,#N/A
2006/4/10,29
2006/4/11,29.4
2006/4/12,29.4
2006/4/13,29.25
2006/4/14,#N/A
2006/4/15,#N/A
2006/4/16,#N/A
2006/4/17,29.4
2006/4/18,30.45
2006/4/19,30.45
2006/4/20,29.95
2006/4/21,29.75
2006/4/22,#N/A
2006/4/23,#N/A
2006/4/24,29.85
2006/4/25,27.3
2006/4/26,20.15
2006/4/27,16.6
2006/4/28,13.55
2006/4/29,#N/A
2006/4/30,#N/A
2006/5/1,13.25
2006/5/2,11.4
2006/5/3,12.2
2006/5/4,14.2
2006/5/5,12.75
2006/5/6,#N/A
2006/5/7,#N/A
2006/5/8,12.1
2006/5/9,12.2
2006/5/10,13.25
2006/5/11,12.85
2006/5/12,9.3
2006/5/13,#N/A
2006/5/14,#N/A
2006/5/15,15.1
2006/5/16,16.65
2006/5/17,15.65
2006/5/18,15.65
2006/5/19,16.35
2006/5/20,#N/A
2006/5/21,#N/A
2006/5/22,18.25
2006/5/23,19.65
2006/5/24,19.05
2006/5/25,19.1
2006/5/26,18.7
2006/5/27,#N/A
2006/5/28,#N/A
2006/5/29,#N/A
2006/5/30,17.7
2006/5/31,16.7
2006/6/1,16.3
2006/6/2,16.3
2006/6/3,#N/A
2006/6/4,#N/A
2006/6/5,15.95
2006/6/6,15.7
2006/6/7,15
2006/6/8,14
2006/6/9,14
2006/6/10,#N/A
2006/6/11,#N/A
2006/6/12,15.05
2006/6/13,14.9
2006/6/14,14.85
2006/6/15,14.8
2006/6/16,15
2006/6/17,#N/A
2006/6/18,#N/A
2006/6/19,15.3
2006/6/20,15.95
2006/6/21,15.4
2006/6/22,15.55
2006/6/23,15.45
2006/6/24,#N/A
2006/6/25,#N/A
2006/6/26,14.95
2006/6/27,15.1
2006/6/28,15.5
2006/6/29,15.9
2006/6/30,15.85
2006/7/1,#N/A
2006/7/2,#N/A
2006/7/3,16.2
2006/7/4,16.2
2006/7/5,16
2006/7/6,16.4
2006/7/7,16.15
2006/7/8,#N/A
2006/7/9,#N/A
2006/7/10,16.35
2006/7/11,16.5
2006/7/12,16.4
2006/7/13,16.5
2006/7/14,16.9
2006/7/15,#N/A
2006/7/16,#N/A
2006/7/17,17.35
2006/7/18,17.1
2006/7/19,16.65
2006/7/20,17
2006/7/21,16.8
2006/7/22,#N/A
2006/7/23,#N/A
2006/7/24,16.7
2006/7/25,16.4
2006/7/26,16.55
2006/7/27,16.75
2006/7/28,16.3
2006/7/29,#N/A
2006/7/30,#N/A
2006/7/31,16.25
2006/8/1,16.45
2006/8/2,16.6
2006/8/3,16.05
2006/8/4,15.3
2006/8/5,#N/A
2006/8/6,#N/A
2006/8/7,15.9
2006/8/8,15.9
2006/8/9,15.85
2006/8/10,15.7
2006/8/11,15.9
2006/8/12,#N/A
2006/8/13,#N/A
2006/8/14,15.65
2006/8/15,15.6
2006/8/16,15.8
2006/8/17,15.9
2006/8/18,16
2006/8/19,#N/A
2006/8/20,#N/A
2006/8/21,16.65
2006/8/22,17
2006/8/23,16.8
2006/8/24,16.35
2006/8/25,16.4
2006/8/26,#N/A
2006/8/27,#N/A
2006/8/28,16.3
2006/8/29,16.05
2006/8/30,15.8
2006/8/31,16
2006/9/1,16
2006/9/2,#N/A
2006/9/3,#N/A
2006/9/4,16.45
2006/9/5,16.55
2006/9/6,16.7
2006/9/7,16.55
2006/9/8,16.45
2006/9/9,#N/A
2006/9/10,#N/A
2006/9/11,16.3
2006/9/12,16.4
2006/9/13,16.3
2006/9/14,16.35
2006/9/15,16.25
2006/9/16,#N/A
2006/9/17,#N/A
2006/9/18,16.25
2006/9/19,15.75
2006/9/20,14.25
2006/9/21,13.55
2006/9/22,13.35
2006/9/23,#N/A
2006/9/24,#N/A
2006/9/25,12.85
2006/9/26,12
2006/9/27,12.1
2006/9/28,12.6
2006/9/29,12.95
2006/9/30,#N/A
2006/10/1,#N/A
2006/10/2,12.15
2006/10/3,12
2006/10/4,12
2006/10/5,12.15
2006/10/6,12.1
2006/10/7,#N/A
2006/10/8,#N/A
2006/10/9,12.4
2006/10/10,12.5
2006/10/11,12.5
2006/10/12,12.45
2006/10/13,12.55
2006/10/14,#N/A
2006/10/15,#N/A
2006/10/16,12.55
2006/10/17,12.75
2006/10/18,12.9
2006/10/19,12.85
2006/10/20,12.85
2006/10/21,#N/A
2006/10/22,#N/A
2006/10/23,12.55
2006/10/24,12.55
2006/10/25,12.05
2006/10/26,12.1
2006/10/27,11.85
2006/10/28,#N/A
2006/10/29,#N/A
2006/10/30,10.8
2006/10/31,11.05
2006/11/1,11
2006/11/2,10.75
2006/11/3,10.6
2006/11/4,#N/A
2006/11/5,#N/A
2006/11/6,10.4
2006/11/7,9.45
2006/11/8,9.5
2006/11/9,9.5
2006/11/10,8.7
2006/11/11,#N/A
2006/11/12,#N/A
2006/11/13,8.45
2006/11/14,9.1
2006/11/15,9
2006/11/16,8.65
2006/11/17,8.45
2006/11/18,#N/A
2006/11/19,#N/A
2006/11/20,8.6
2006/11/21,8.75
2006/11/22,8.6
2006/11/23,8.7
2006/11/24,9
2006/11/25,#N/A
2006/11/26,#N/A
2006/11/27,8.95
2006/11/28,8.6
2006/11/29,8.15
2006/11/30,8.1
2006/12/1,7.4
2006/12/2,#N/A
2006/12/3,#N/A
2006/12/4,7.1
2006/12/5,6.75
2006/12/6,7.05
2006/12/7,7.5
2006/12/8,7.2
2006/12/9,#N/A
2006/12/10,#N/A
2006/12/11,7.05
2006/12/12,6.7
2006/12/13,6.4
2006/12/14,6.4
2006/12/15,6.55
2006/12/16,#N/A
2006/12/17,#N/A
2006/12/18,6.6
2006/12/19,6.65
2006/12/20,6.6
2006/12/21,6.8
2006/12/22,6.95
2006/12/23,#N/A
2006/12/24,#N/A
2006/12/25,#N/A
2006/12/26,#N/A
2006/12/27,6.7
2006/12/28,6.7
2006/12/29,6.6
2006/12/30,#N/A
2006/12/31,#N/A
2007/1/1,#N/A
2007/1/2,5.6
2007/1/3,4.85
2007/1/4,4.85
2007/1/5,4.8
2007/1/6,#N/A
2007/1/7,#N/A
2007/1/8,3.95
2007/1/9,3.5
2007/1/10,3.85
2007/1/11,4
2007/1/12,4.05
2007/1/13,#N/A
2007/1/14,#N/A
2007/1/15,4.05
2007/1/16,4.25
2007/1/17,4.1
2007/1/18,4
2007/1/19,4
2007/1/20,#N/A
2007/1/21,#N/A
2007/1/22,3.9
2007/1/23,3.8
2007/1/24,3.45
2007/1/25,3.3
2007/1/26,3.05
2007/1/27,#N/A
2007/1/28,#N/A
2007/1/29,2.5
2007/1/30,2.45
2007/1/31,2.35
2007/2/1,2.25
2007/2/2,2
2007/2/3,#N/A
2007/2/4,#N/A
2007/2/5,1.8
2007/2/6,1.5
2007/2/7,1.35
2007/2/8,1.5
2007/2/9,1.65
2007/2/10,#N/A
2007/2/11,#N/A
2007/2/12,1.3
2007/2/13,1.25
2007/2/14,1.2
2007/2/15,1.15
2007/2/16,1.15
2007/2/17,#N/A
2007/2/18,#N/A
2007/2/19,0.8
2007/2/20,0.9
2007/2/21,0.95
2007/2/22,0.9
2007/2/23,0.95
2007/2/24,#N/A
2007/2/25,#N/A
2007/2/26,1
2007/2/27,1
2007/2/28,0.95
2007/3/1,1
2007/3/2,1.1
2007/3/3,#N/A
2007/3/4,#N/A
2007/3/5,1
2007/3/6,1.05
2007/3/7,1.15
2007/3/8,1.15
2007/3/9,1.35
2007/3/10,#N/A
2007/3/11,#N/A
2007/3/12,1.35
2007/3/13,1.25
2007/3/14,1.25
2007/3/15,1.25
2007/3/16,1.2
2007/3/17,#N/A
2007/3/18,#N/A
2007/3/19,1.05
2007/3/20,1.05
2007/3/21,1.05
2007/3/22,1
2007/3/23,1
2007/3/24,#N/A
2007/3/25,#N/A
2007/3/26,1
2007/3/27,1.04
2007/3/28,1.2
2007/3/29,1.36
2007/3/30,1.31
2007/3/31,#N/A
2007/4/1,#N/A
2007/4/2,1.03
2007/4/3,0.9
2007/4/4,0.85
2007/4/5,0.83
2007/4/6,#N/A
2007/4/7,#N/A
2007/4/8,#N/A
2007/4/9,0.83
2007/4/10,0.83
2007/4/11,0.8
2007/4/12,0.8
2007/4/13,0.76
2007/4/14,#N/A
2007/4/15,#N/A
2007/4/16,0.72
2007/4/17,0.68
2007/4/18,0.56
2007/4/19,0.51
2007/4/20,0.63
2007/4/21,#N/A
2007/4/22,#N/A
2007/4/23,0.68
2007/4/24,0.68
2007/4/25,0.64
2007/4/26,0.54
2007/4/27,0.53
2007/4/28,#N/A
2007/4/29,#N/A
2007/4/30,0.53
2007/5/1,0.58
2007/5/2,0.56
2007/5/3,0.54
2007/5/4,0.54
2007/5/5,#N/A
2007/5/6,#N/A
2007/5/7,0.53
2007/5/8,0.47
2007/5/9,0.4
2007/5/10,0.3
2007/5/11,0.32
2007/5/12,#N/A
2007/5/13,#N/A
2007/5/14,0.33
2007/5/15,0.29
2007/5/16,0.33
2007/5/17,0.3
2007/5/18,0.28
2007/5/19,#N/A
2007/5/20,#N/A
2007/5/21,0.3
2007/5/22,0.29
2007/5/23,0.29
2007/5/24,0.29
2007/5/25,0.29
2007/5/26,#N/A
2007/5/27,#N/A
2007/5/28,0.3
2007/5/29,0.27
2007/5/30,0.27
2007/5/31,0.29
2007/6/1,0.29
2007/6/2,#N/A
2007/6/3,#N/A
2007/6/4,0.29
2007/6/5,0.28
2007/6/6,0.29
2007/6/7,0.27
2007/6/8,0.27
2007/6/9,#N/A
2007/6/10,#N/A
2007/6/11,0.25
2007/6/12,0.24
2007/6/13,0.22
2007/6/14,0.19
2007/6/15,0.17
2007/6/16,#N/A
2007/6/17,#N/A
2007/6/18,0.14
2007/6/19,0.14
2007/6/20,0.13
2007/6/21,0.12
2007/6/22,0.12
2007/6/23,#N/A
2007/6/24,#N/A
2007/6/25,0.11
2007/6/26,0.13
2007/6/27,0.13
2007/6/28,0.14
2007/6/29,0.13
2007/6/30,#N/A
2007/7/1,#N/A
2007/7/2,0.14
2007/7/3,0.13
2007/7/4,0.13
2007/7/5,0.14
2007/7/6,0.15
2007/7/7,#N/A
2007/7/8,#N/A
2007/7/9,0.14
2007/7/10,0.14
2007/7/11,0.14
2007/7/12,0.13
2007/7/13,0.13
2007/7/14,#N/A
2007/7/15,#N/A
2007/7/16,0.13
2007/7/17,0.14
2007/7/18,0.13
2007/7/19,0.12
2007/7/20,0.13
2007/7/21,#N/A
2007/7/22,#N/A
2007/7/23,0.12
2007/7/24,0.12
2007/7/25,0.12
2007/7/26,0.12
2007/7/27,0.12
2007/7/28,#N/A
2007/7/29,#N/A
2007/7/30,0.11
2007/7/31,0.12
2007/8/1,0.11
2007/8/2,0.09
2007/8/3,0.09
2007/8/4,#N/A
2007/8/5,#N/A
2007/8/6,0.09
2007/8/7,0.09
2007/8/8,0.1
2007/8/9,0.1
2007/8/10,0.1
2007/8/11,#N/A
2007/8/12,#N/A
2007/8/13,0.1
2007/8/14,0.11
2007/8/15,0.11
2007/8/16,0.11
2007/8/17,0.11
2007/8/18,#N/A
2007/8/19,#N/A
2007/8/20,0.11
2007/8/21,0.11
2007/8/22,0.11
2007/8/23,0.11
2007/8/24,0.11
2007/8/25,#N/A
2007/8/26,#N/A
2007/8/27,0.11
2007/8/28,0.11
2007/8/29,0.1
2007/8/30,0.11
2007/8/31,0.1
2007/9/1,#N/A
2007/9/2,#N/A
2007/9/3,0.1
2007/9/4,0.1
2007/9/5,0.1
2007/9/6,0.1
2007/9/7,0.1
2007/9/8,#N/A
2007/9/9,#N/A
2007/9/10,0.09
2007/9/11,0.08
2007/9/12,0.09
2007/9/13,0.07
2007/9/14,0.07
2007/9/15,#N/A
2007/9/16,#N/A
2007/9/17,0.07
2007/9/18,0.06
2007/9/19,0.08
2007/9/20,0.08
2007/9/21,0.08
2007/9/22,#N/A
2007/9/23,#N/A
2007/9/24,0.08
2007/9/25,0.08
2007/9/26,0.08
2007/9/27,0.08
2007/9/28,0.08
2007/9/29,#N/A
2007/9/30,#N/A
2007/10/1,0.07
2007/10/2,0.08
2007/10/3,0.07
2007/10/4,0.07
2007/10/5,0.11
2007/10/6,#N/A
2007/10/7,#N/A
2007/10/8,0.07
2007/10/9,0.07
2007/10/10,0.07
2007/10/11,0.07
2007/10/12,0.07
2007/10/13,#N/A
2007/10/14,#N/A
2007/10/15,0.07
2007/10/16,0.07
2007/10/17,0.07
2007/10/18,0.07
2007/10/19,0.07
2007/10/20,#N/A
2007/10/21,#N/A
2007/10/22,0.07
2007/10/23,0.07
2007/10/24,0.07
2007/10/25,0.07
2007/10/26,0.07
2007/10/27,#N/A
2007/10/28,#N/A
2007/10/29,0.07
2007/10/30,0.07
2007/10/31,0.09
2007/11/1,0.08
2007/11/2,0.08
2007/11/3,#N/A
2007/11/4,#N/A
2007/11/5,0.07
2007/11/6,0.07
2007/11/7,0.1
2007/11/8,0.11
2007/11/9,0.1
2007/11/10,#N/A
2007/11/11,#N/A
2007/11/12,0.1
2007/11/13,0.1
2007/11/14,0.09
2007/11/15,0.09
2007/11/16,0.08
2007/11/17,#N/A
2007/11/18,#N/A
2007/11/19,0.08
2007/11/20,0.07
2007/11/21,0.07
2007/11/22,0.08
2007/11/23,0.08
2007/11/24,#N/A
2007/11/25,#N/A
2007/11/26,0.07
2007/11/27,0.07
2007/11/28,0.07
2007/11/29,0.04
2007/11/30,0.01
2007/12/1,#N/A
2007/12/2,#N/A
2007/12/3,0.03
2007/12/4,0.03
2007/12/5,0.03
2007/12/6,0.03
2007/12/7,0.03
2007/12/8,#N/A
2007/12/9,#N/A
2007/12/10,0.03
2007/12/11,0.03
2007/12/12,0.03
2007/12/13,0.03
2007/12/14,0.03
2007/12/15,#N/A
2007/12/16,#N/A
2007/12/17,0.01
2007/12/18,22.6
2007/12/19,22.45
2007/12/20,22.3
2007/12/21,21.93
2007/12/22,#N/A
2007/12/23,#N/A
2007/12/24,22
2007/12/25,#N/A
2007/12/26,#N/A
2007/12/27,21.87
2007/12/28,22.21
2007/12/29,#N/A
2007/12/30,#N/A
2007/12/31,22.41
2008/1/1,#N/A
2008/1/2,22.92
2008/1/3,23.54
2008/1/4,23.55
2008/1/5,#N/A
2008/1/6,#N/A
2008/1/7,23.66
2008/1/8,23.7
2008/1/9,23.42
2008/1/10,23.11
2008/1/11,23.11
2008/1/12,#N/A
2008/1/13,#N/A
2008/1/14,23.41
2008/1/15,23.17
2008/1/16,22.75
2008/1/17,22.23
2008/1/18,22.28
2008/1/19,#N/A
2008/1/20,#N/A
2008/1/21,20.84
2008/1/22,20.31
2008/1/23,20.03
2008/1/24,19.76
2008/1/25,21.04
2008/1/26,#N/A
2008/1/27,#N/A
2008/1/28,20.65
2008/1/29,20.7
2008/1/30,20.08
2008/1/31,19.1
2008/2/1,19.22
2008/2/2,#N/A
2008/2/3,#N/A
2008/2/4,19.19
2008/2/5,18.84
2008/2/6,19.97
2008/2/7,20.44
2008/2/8,20.39
2008/2/9,#N/A
2008/2/10,#N/A
2008/2/11,20.16
2008/2/12,19.97
2008/2/13,19.93
2008/2/14,20.72
2008/2/15,20.87
2008/2/16,#N/A
2008/2/17,#N/A
2008/2/18,20.93
2008/2/19,21.64
2008/2/20,21.5
2008/2/21,21.7
2008/2/22,21.48
2008/2/23,#N/A
2008/2/24,#N/A
2008/2/25,21.59
2008/2/26,21.35
2008/2/27,21.26
2008/2/28,21.16
2008/2/29,21.31
2008/3/1,#N/A
2008/3/2,#N/A
2008/3/3,20.88
2008/3/4,20.67
2008/3/5,21.24
2008/3/6,21.35
2008/3/7,21.38
2008/3/8,#N/A
2008/3/9,#N/A
2008/3/10,21.66
2008/3/11,21.86
2008/3/12,21.95
2008/3/13,22.55
2008/3/14,22.21
2008/3/15,#N/A
2008/3/16,#N/A
2008/3/17,21.43
2008/3/18,21.66
2008/3/19,21.56
2008/3/20,21.97
2008/3/21,#N/A
2008/3/22,#N/A
2008/3/23,#N/A
2008/3/24,#N/A
2008/3/25,22.54
2008/3/26,22.51
2008/3/27,22.26
2008/3/28,21.76
2008/3/29,#N/A
2008/3/30,#N/A
2008/3/31,22.27
2008/4/1,22.52
2008/4/2,23.42
2008/4/3,23.47
2008/4/4,23.31
2008/4/5,#N/A
2008/4/6,#N/A
2008/4/7,23.82
2008/4/8,23.51
2008/4/9,23.69
2008/4/10,24.44
2008/4/11,24.38
2008/4/12,#N/A
2008/4/13,#N/A
2008/4/14,25
2008/4/15,25.14
2008/4/16,24.8
2008/4/17,24.69
2008/4/18,24.51
2008/4/19,#N/A
2008/4/20,#N/A
2008/4/21,25.23
2008/4/22,25.34
2008/4/23,25
2008/4/24,24.51
2008/4/25,24.74
2008/4/26,#N/A
2008/4/27,#N/A
2008/4/28,24.63
2008/4/29,24.19
2008/4/30,23.88
2008/5/1,23.56
2008/5/2,24.5
2008/5/3,#N/A
2008/5/4,#N/A
2008/5/5,#N/A
2008/5/6,25.31
2008/5/7,25.03
2008/5/8,24.91
2008/5/9,25.17
2008/5/10,#N/A
2008/5/11,#N/A
2008/5/12,25.39
2008/5/13,25.04
2008/5/14,24.46
2008/5/15,24.68
2008/5/16,24.89
2008/5/17,#N/A
2008/5/18,#N/A
2008/5/19,25.31
2008/5/20,25.36
2008/5/21,25.73
2008/5/22,26.06
2008/5/23,26.11
2008/5/24,#N/A
2008/5/25,#N/A
2008/5/26,26.38
2008/5/27,26.34
2008/5/28,26.19
2008/5/29,26.59
2008/5/30,26.1
2008/5/31,#N/A
2008/6/1,#N/A
2008/6/2,26.34
2008/6/3,27.13
2008/6/4,26.6
2008/6/5,26.44
2008/6/6,27.54
2008/6/7,#N/A
2008/6/8,#N/A
2008/6/9,27.49
2008/6/10,27.2
2008/6/11,27.32
2008/6/12,27.16
2008/6/13,27
2008/6/14,#N/A
2008/6/15,#N/A
2008/6/16,27.13
2008/6/17,27.24
2008/6/18,27.5
2008/6/19,27.64
2008/6/20,27.41
2008/6/21,#N/A
2008/6/22,#N/A
2008/6/23,27.77
2008/6/24,27.78
2008/6/25,27.59
2008/6/26,27.88
2008/6/27,28.34
2008/6/28,#N/A
2008/6/29,#N/A
2008/6/30,28.77
2008/7/1,29.33
2008/7/2,27.99
2008/7/3,27.45
2008/7/4,27.64
2008/7/5,#N/A
2008/7/6,#N/A
2008/7/7,27.51
2008/7/8,25.79
2008/7/9,26.02
2008/7/10,26.68
2008/7/11,27.45
2008/7/12,#N/A
2008/7/13,#N/A
2008/7/14,27.26
2008/7/15,26.32
2008/7/16,25.03
2008/7/17,25.76
2008/7/18,24.5
2008/7/19,#N/A
2008/7/20,#N/A
2008/7/21,24.49
2008/7/22,24.67
2008/7/23,24.74
2008/7/24,25.14
2008/7/25,24.94
2008/7/26,#N/A
2008/7/27,#N/A
2008/7/28,24.41
2008/7/29,23.63
2008/7/30,22.7
2008/7/31,22.06
2008/8/1,21.38
2008/8/2,#N/A
2008/8/3,#N/A
2008/8/4,21.21
2008/8/5,21.67
2008/8/6,22.26
2008/8/7,22.82
2008/8/8,22.61
2008/8/9,#N/A
2008/8/10,#N/A
2008/8/11,22.65
2008/8/12,23.31
2008/8/13,23.67
2008/8/14,23.43
2008/8/15,23.19
2008/8/16,#N/A
2008/8/17,#N/A
2008/8/18,23.59
2008/8/19,23.73
2008/8/20,24.42
2008/8/21,24.72
2008/8/22,24.58
2008/8/23,#N/A
2008/8/24,#N/A
2008/8/25,24.37
2008/8/26,24.72
2008/8/27,25.14
2008/8/28,25.17
2008/8/29,25.19
2008/8/30,#N/A
2008/8/31,#N/A
2008/9/1,24.96
2008/9/2,24.72
2008/9/3,24.45
2008/9/4,24.65
2008/9/5,24.4
2008/9/6,#N/A
2008/9/7,#N/A
2008/9/8,24.19
2008/9/9,22.86
