国家,美国
1991/2/21,1.334
1991/2/22,1.345
1991/2/23,#N/A
1991/2/24,#N/A
1991/2/25,1.351
1991/2/26,1.355
1991/2/27,1.356
1991/2/28,1.373
1991/3/1,1.361
1991/3/2,#N/A
1991/3/3,#N/A
1991/3/4,1.355
1991/3/5,1.355
1991/3/6,1.356
1991/3/7,1.363
1991/3/8,1.359
1991/3/9,#N/A
1991/3/10,#N/A
1991/3/11,1.362
1991/3/12,1.375
1991/3/13,1.395
1991/3/14,1.381
1991/3/15,1.385
1991/3/16,#N/A
1991/3/17,#N/A
1991/3/18,1.386
1991/3/19,1.391
1991/3/20,1.376
1991/3/21,1.397
1991/3/22,1.385
1991/3/23,#N/A
1991/3/24,#N/A
1991/3/25,1.39
1991/3/26,1.395
1991/3/27,1.395
1991/3/28,1.405
1991/3/29,#N/A
1991/3/30,#N/A
1991/3/31,#N/A
1991/4/1,1.415
1991/4/2,1.42
1991/4/3,1.417
1991/4/4,1.403
1991/4/5,1.4
1991/4/6,#N/A
1991/4/7,#N/A
1991/4/8,1.395
1991/4/9,1.391
1991/4/10,1.376
1991/4/11,1.375
1991/4/12,1.376
1991/4/13,#N/A
1991/4/14,#N/A
1991/4/15,1.382
1991/4/16,1.376
1991/4/17,1.378
1991/4/18,1.375
1991/4/19,1.355
1991/4/20,#N/A
1991/4/21,#N/A
1991/4/22,1.381
1991/4/23,1.39
1991/4/24,1.38
1991/4/25,1.379
1991/4/26,1.367
1991/4/27,#N/A
1991/4/28,#N/A
1991/4/29,1.374
1991/4/30,1.375
1991/5/1,1.376
1991/5/2,1.366
1991/5/3,1.356
1991/5/4,#N/A
1991/5/5,#N/A
1991/5/6,1.357
1991/5/7,1.353
1991/5/8,1.347
1991/5/9,1.352
1991/5/10,1.35
1991/5/11,#N/A
1991/5/12,#N/A
1991/5/13,1.349
1991/5/14,1.349
1991/5/15,1.35
1991/5/16,1.345
1991/5/17,1.343
1991/5/18,#N/A
1991/5/19,#N/A
1991/5/20,1.332
1991/5/21,1.33
1991/5/22,1.336
1991/5/23,1.33
1991/5/24,1.335
1991/5/25,#N/A
1991/5/26,#N/A
1991/5/27,#N/A
1991/5/28,1.331
1991/5/29,1.344
1991/5/30,1.338
1991/5/31,1.333
1991/6/1,#N/A
1991/6/2,#N/A
1991/6/3,1.333
1991/6/4,1.329
1991/6/5,1.315
1991/6/6,1.297
1991/6/7,1.283
1991/6/8,#N/A
1991/6/9,#N/A
1991/6/10,1.287
1991/6/11,1.28
1991/6/12,1.271
1991/6/13,1.293
1991/6/14,1.293
1991/6/15,#N/A
1991/6/16,#N/A
1991/6/17,1.262
1991/6/18,1.245
1991/6/19,1.215
1991/6/20,1.167
1991/6/21,1.195
1991/6/22,#N/A
1991/6/23,#N/A
1991/6/24,1.118
1991/6/25,1.123
1991/6/26,1.142
1991/6/27,1.182
1991/6/28,1.208
1991/6/29,#N/A
1991/6/30,#N/A
1991/7/1,1.19
1991/7/2,1.171
1991/7/3,1.191
1991/7/4,#N/A
1991/7/5,1.183
1991/7/6,#N/A
1991/7/7,#N/A
1991/7/8,1.198
1991/7/9,1.18
1991/7/10,1.16
1991/7/11,1.157
1991/7/12,1.165
1991/7/13,#N/A
1991/7/14,#N/A
1991/7/15,1.169
1991/7/16,1.205
1991/7/17,1.235
1991/7/18,1.25
1991/7/19,1.247
1991/7/20,#N/A
1991/7/21,#N/A
1991/7/22,1.22
1991/7/23,1.195
1991/7/24,1.216
1991/7/25,1.245
1991/7/26,1.238
1991/7/27,#N/A
1991/7/28,#N/A
1991/7/29,1.225
1991/7/30,1.238
1991/7/31,1.26
1991/8/1,1.255
1991/8/2,1.26
1991/8/3,#N/A
1991/8/4,#N/A
1991/8/5,1.275
1991/8/6,1.286
1991/8/7,1.294
1991/8/8,1.293
1991/8/9,1.288
1991/8/10,#N/A
1991/8/11,#N/A
1991/8/12,1.289
1991/8/13,1.287
1991/8/14,1.283
1991/8/15,1.288
1991/8/16,1.278
1991/8/17,#N/A
1991/8/18,#N/A
1991/8/19,1.294
1991/8/20,1.293
1991/8/21,1.312
1991/8/22,1.42
1991/8/23,1.522
1991/8/24,#N/A
1991/8/25,#N/A
1991/8/26,1.593
1991/8/27,1.576
1991/8/28,1.578
1991/8/29,1.571
1991/8/30,1.564
1991/8/31,#N/A
1991/9/1,#N/A
1991/9/2,#N/A
1991/9/3,1.556
1991/9/4,1.568
1991/9/5,1.593
1991/9/6,1.617
1991/9/7,#N/A
1991/9/8,#N/A
1991/9/9,1.629
1991/9/10,1.683
1991/9/11,1.629
1991/9/12,1.596
1991/9/13,1.59
1991/9/14,#N/A
1991/9/15,#N/A
1991/9/16,1.595
1991/9/17,1.598
1991/9/18,1.61
1991/9/19,1.67
1991/9/20,1.742
1991/9/21,#N/A
1991/9/22,#N/A
1991/9/23,1.919
1991/9/24,1.889
1991/9/25,1.899
1991/9/26,1.918
1991/9/27,1.92
1991/9/28,#N/A
1991/9/29,#N/A
1991/9/30,1.935
1991/10/1,1.907
1991/10/2,1.894
1991/10/3,1.891
1991/10/4,1.904
1991/10/5,#N/A
1991/10/6,#N/A
1991/10/7,1.913
1991/10/8,1.943
1991/10/9,1.97
1991/10/10,1.958
1991/10/11,1.955
1991/10/12,#N/A
1991/10/13,#N/A
1991/10/14,1.982
1991/10/15,1.986
1991/10/16,2.001
1991/10/17,2.014
1991/10/18,2.025
1991/10/19,#N/A
1991/10/20,#N/A
1991/10/21,2.013
1991/10/22,1.91
1991/10/23,1.889
1991/10/24,2.069
1991/10/25,2.081
1991/10/26,#N/A
1991/10/27,#N/A
1991/10/28,2.106
1991/10/29,2.092
1991/10/30,2.065
1991/10/31,2.046
1991/11/1,2.083
1991/11/2,#N/A
1991/11/3,#N/A
1991/11/4,2.12
1991/11/5,2.071
1991/11/6,2.063
1991/11/7,2.082
1991/11/8,2.082
1991/11/9,#N/A
1991/11/10,#N/A
1991/11/11,2.07
1991/11/12,2.055
1991/11/13,2.04
1991/11/14,2
1991/11/15,2.04
1991/11/16,#N/A
1991/11/17,#N/A
1991/11/18,2.001
1991/11/19,1.91
1991/11/20,1.987
1991/11/21,2.089
1991/11/22,2.086
1991/11/23,#N/A
1991/11/24,#N/A
1991/11/25,2.078
1991/11/26,2.066
1991/11/27,2.105
1991/11/28,#N/A
1991/11/29,2.09
1991/11/30,#N/A
1991/12/1,#N/A
1991/12/2,2.1
1991/12/3,2.102
1991/12/4,2.083
1991/12/5,2.024
1991/12/6,1.979
1991/12/7,#N/A
1991/12/8,#N/A
1991/12/9,1.939
1991/12/10,1.93
1991/12/11,1.851
1991/12/12,1.873
1991/12/13,1.836
1991/12/14,#N/A
1991/12/15,#N/A
1991/12/16,1.834
1991/12/17,1.825
1991/12/18,1.765
1991/12/19,1.708
1991/12/20,1.695
1991/12/21,#N/A
1991/12/22,#N/A
1991/12/23,1.397
1991/12/24,1.4
1991/12/25,#N/A
1991/12/26,1.381
1991/12/27,1.378
1991/12/28,#N/A
1991/12/29,#N/A
1991/12/30,1.38
1991/12/31,1.343
1992/1/1,#N/A
1992/1/2,1.305
1992/1/3,1.299
1992/1/4,#N/A
1992/1/5,#N/A
1992/1/6,1.278
1992/1/7,1.304
1992/1/8,1.29
1992/1/9,1.259
1992/1/10,1.206
1992/1/11,#N/A
1992/1/12,#N/A
1992/1/13,1.234
1992/1/14,1.247
1992/1/15,1.294
1992/1/16,1.35
1992/1/17,1.246
1992/1/18,#N/A
1992/1/19,#N/A
1992/1/20,1.227
1992/1/21,1.228
1992/1/22,1.149
1992/1/23,1.075
1992/1/24,1.046
1992/1/25,#N/A
1992/1/26,#N/A
1992/1/27,1.218
1992/1/28,1.181
1992/1/29,1.18
1992/1/30,1.166
1992/1/31,1.18
1992/2/1,#N/A
1992/2/2,#N/A
1992/2/3,1.176
1992/2/4,1.198
1992/2/5,1.189
1992/2/6,1.183
1992/2/7,1.19
1992/2/8,#N/A
1992/2/9,#N/A
1992/2/10,1.196
1992/2/11,1.13
1992/2/12,1.136
1992/2/13,1.115
1992/2/14,1.079
1992/2/15,#N/A
1992/2/16,#N/A
1992/2/17,#N/A
1992/2/18,1.081
1992/2/19,1.139
1992/2/20,1.145
1992/2/21,1.249
1992/2/22,#N/A
1992/2/23,#N/A
1992/2/24,1.175
1992/2/25,1.18
1992/2/26,1.18
1992/2/27,1.156
1992/2/28,1.171
1992/2/29,#N/A
1992/3/1,#N/A
1992/3/2,1.167
1992/3/3,1.167
1992/3/4,1.191
1992/3/5,1.18
1992/3/6,1.165
1992/3/7,#N/A
1992/3/8,#N/A
1992/3/9,1.18
1992/3/10,1.188
1992/3/11,1.184
1992/3/12,1.197
1992/3/13,1.212
1992/3/14,#N/A
1992/3/15,#N/A
1992/3/16,1.227
1992/3/17,1.245
1992/3/18,1.247
1992/3/19,1.253
1992/3/20,1.268
1992/3/21,#N/A
1992/3/22,#N/A
1992/3/23,1.346
1992/3/24,1.418
1992/3/25,1.379
1992/3/26,1.322
1992/3/27,1.326
1992/3/28,#N/A
1992/3/29,#N/A
1992/3/30,1.332
1992/3/31,1.357
1992/4/1,1.381
1992/4/2,1.352
1992/4/3,1.319
1992/4/4,#N/A
1992/4/5,#N/A
1992/4/6,1.315
1992/4/7,1.285
1992/4/8,1.305
1992/4/9,1.31
1992/4/10,1.294
1992/4/11,#N/A
1992/4/12,#N/A
1992/4/13,1.27
1992/4/14,1.276
1992/4/15,1.34
1992/4/16,1.361
1992/4/17,#N/A
1992/4/18,#N/A
1992/4/19,#N/A
1992/4/20,1.417
1992/4/21,1.468
1992/4/22,1.571
1992/4/23,1.596
1992/4/24,1.386
1992/4/25,#N/A
1992/4/26,#N/A
1992/4/27,1.383
1992/4/28,1.409
1992/4/29,1.45
1992/4/30,1.422
1992/5/1,1.431
1992/5/2,#N/A
1992/5/3,#N/A
1992/5/4,1.458
1992/5/5,1.529
1992/5/6,1.496
1992/5/7,1.484
1992/5/8,1.475
1992/5/9,#N/A
1992/5/10,#N/A
1992/5/11,1.49
1992/5/12,1.543
1992/5/13,1.562
1992/5/14,1.623
1992/5/15,1.657
1992/5/16,#N/A
1992/5/17,#N/A
1992/5/18,1.678
1992/5/19,1.751
1992/5/20,1.788
1992/5/21,1.685
1992/5/22,1.545
1992/5/23,#N/A
1992/5/24,#N/A
1992/5/25,#N/A
1992/5/26,1.63
1992/5/27,1.59
1992/5/28,1.617
1992/5/29,1.625
1992/5/30,#N/A
1992/5/31,#N/A
1992/6/1,1.66
1992/6/2,1.652
1992/6/3,1.586
1992/6/4,1.609
1992/6/5,1.653
1992/6/6,#N/A
1992/6/7,#N/A
1992/6/8,1.625
1992/6/9,1.634
1992/6/10,1.619
1992/6/11,1.592
1992/6/12,1.535
1992/6/13,#N/A
1992/6/14,#N/A
1992/6/15,1.563
1992/6/16,1.603
1992/6/17,1.605
1992/6/18,1.591
1992/6/19,1.556
1992/6/20,#N/A
1992/6/21,#N/A
1992/6/22,1.545
1992/6/23,1.517
1992/6/24,1.521
1992/6/25,1.53
1992/6/26,1.519
1992/6/27,#N/A
1992/6/28,#N/A
1992/6/29,1.508
1992/6/30,1.518
1992/7/1,1.551
1992/7/2,1.579
1992/7/3,#N/A
1992/7/4,#N/A
1992/7/5,#N/A
1992/7/6,1.577
1992/7/7,1.595
1992/7/8,1.63
1992/7/9,1.639
1992/7/10,1.653
1992/7/11,#N/A
1992/7/12,#N/A
1992/7/13,1.722
1992/7/14,1.692
1992/7/15,1.727
1992/7/16,1.703
1992/7/17,1.714
1992/7/18,#N/A
1992/7/19,#N/A
1992/7/20,1.749
1992/7/21,1.77
1992/7/22,1.809
1992/7/23,1.795
1992/7/24,1.939
1992/7/25,#N/A
1992/7/26,#N/A
1992/7/27,1.856
1992/7/28,1.838
1992/7/29,1.88
1992/7/30,1.932
1992/7/31,1.892
1992/8/1,#N/A
1992/8/2,#N/A
1992/8/3,1.857
1992/8/4,1.861
1992/8/5,1.851
1992/8/6,1.877
1992/8/7,1.889
1992/8/8,#N/A
1992/8/9,#N/A
1992/8/10,1.924
1992/8/11,1.922
1992/8/12,1.911
1992/8/13,1.853
1992/8/14,1.832
1992/8/15,#N/A
1992/8/16,#N/A
1992/8/17,1.762
1992/8/18,1.847
1992/8/19,1.838
1992/8/20,1.845
1992/8/21,1.854
1992/8/22,#N/A
1992/8/23,#N/A
1992/8/24,1.987
1992/8/25,1.929
1992/8/26,1.882
1992/8/27,1.944
1992/8/28,2.115
1992/8/29,#N/A
1992/8/30,#N/A
1992/8/31,2.112
1992/9/1,2.081
1992/9/2,2.051
1992/9/3,2.131
1992/9/4,2.147
1992/9/5,#N/A
1992/9/6,#N/A
1992/9/7,#N/A
1992/9/8,2.044
1992/9/9,2.08
1992/9/10,2.128
1992/9/11,2.148
1992/9/12,#N/A
1992/9/13,#N/A
1992/9/14,2.184
1992/9/15,2.244
1992/9/16,2.269
1992/9/17,2.231
1992/9/18,2.328
1992/9/19,#N/A
1992/9/20,#N/A
1992/9/21,2.452
1992/9/22,2.646
1992/9/23,2.743
1992/9/24,2.464
1992/9/25,2.474
1992/9/26,#N/A
1992/9/27,#N/A
1992/9/28,2.435
1992/9/29,2.513
1992/9/30,2.515
1992/10/1,2.518
1992/10/2,2.505
1992/10/3,#N/A
1992/10/4,#N/A
1992/10/5,2.382
1992/10/6,2.44
1992/10/7,2.39
1992/10/8,2.298
1992/10/9,2.293
1992/10/10,#N/A
1992/10/11,#N/A
1992/10/12,2.23
1992/10/13,2.151
1992/10/14,2.326
1992/10/15,2.432
1992/10/16,2.452
1992/10/17,#N/A
1992/10/18,#N/A
1992/10/19,2.567
1992/10/20,2.571
1992/10/21,2.488
1992/10/22,2.404
1992/10/23,2.499
1992/10/24,#N/A
1992/10/25,#N/A
1992/10/26,2.277
1992/10/27,2.295
1992/10/28,2.361
1992/10/29,2.308
1992/10/30,2.295
1992/10/31,#N/A
1992/11/1,#N/A
1992/11/2,2.421
1992/11/3,2.441
1992/11/4,2.402
1992/11/5,2.382
1992/11/6,2.345
1992/11/7,#N/A
1992/11/8,#N/A
1992/11/9,2.354
1992/11/10,2.417
1992/11/11,2.398
1992/11/12,2.443
1992/11/13,2.423
1992/11/14,#N/A
1992/11/15,#N/A
1992/11/16,2.411
1992/11/17,2.409
1992/11/18,2.375
1992/11/19,2.332
1992/11/20,2.155
1992/11/21,#N/A
1992/11/22,#N/A
1992/11/23,2.108
1992/11/24,2.039
1992/11/25,2.025
1992/11/26,#N/A
1992/11/27,#N/A
1992/11/28,#N/A
1992/11/29,#N/A
1992/11/30,2.087
1992/12/1,1.895
1992/12/2,1.933
1992/12/3,1.979
1992/12/4,1.985
1992/12/5,#N/A
1992/12/6,#N/A
1992/12/7,1.957
1992/12/8,1.971
1992/12/9,2.044
1992/12/10,2.114
1992/12/11,2.089
1992/12/12,#N/A
1992/12/13,#N/A
1992/12/14,2.03
1992/12/15,2.097
1992/12/16,2.072
1992/12/17,2.085
1992/12/18,2.092
1992/12/19,#N/A
1992/12/20,#N/A
1992/12/21,2.031
1992/12/22,2.003
1992/12/23,1.866
1992/12/24,#N/A
1992/12/25,#N/A
1992/12/26,#N/A
1992/12/27,#N/A
1992/12/28,1.735
1992/12/29,1.701
1992/12/30,1.695
1992/12/31,1.687
1993/1/1,#N/A
1993/1/2,#N/A
1993/1/3,#N/A
1993/1/4,1.554
1993/1/5,1.584
1993/1/6,1.582
1993/1/7,1.6
1993/1/8,1.559
1993/1/9,#N/A
1993/1/10,#N/A
1993/1/11,1.614
1993/1/12,1.598
1993/1/13,1.612
1993/1/14,1.646
1993/1/15,1.647
1993/1/16,#N/A
1993/1/17,#N/A
1993/1/18,1.603
1993/1/19,1.551
1993/1/20,1.631
1993/1/21,1.677
1993/1/22,1.634
1993/1/23,#N/A
1993/1/24,#N/A
1993/1/25,1.573
1993/1/26,1.589
1993/1/27,1.575
1993/1/28,1.588
1993/1/29,1.597
1993/1/30,#N/A
1993/1/31,#N/A
1993/2/1,1.627
1993/2/2,1.569
1993/2/3,1.583
1993/2/4,1.618
1993/2/5,1.678
1993/2/6,#N/A
1993/2/7,#N/A
1993/2/8,1.741
1993/2/9,1.686
1993/2/10,1.712
1993/2/11,1.745
1993/2/12,1.71
1993/2/13,#N/A
1993/2/14,#N/A
1993/2/15,#N/A
1993/2/16,1.765
1993/2/17,1.797
1993/2/18,1.873
1993/2/19,1.906
1993/2/20,#N/A
1993/2/21,#N/A
1993/2/22,1.849
1993/2/23,1.835
1993/2/24,1.848
1993/2/25,1.894
1993/2/26,1.856
1993/2/27,#N/A
1993/2/28,#N/A
1993/3/1,1.856
1993/3/2,1.827
1993/3/3,1.764
1993/3/4,1.798
1993/3/5,1.787
1993/3/6,#N/A
1993/3/7,#N/A
1993/3/8,1.824
1993/3/9,1.921
1993/3/10,1.926
1993/3/11,1.945
1993/3/12,1.915
1993/3/13,#N/A
1993/3/14,#N/A
1993/3/15,1.965
1993/3/16,1.913
1993/3/17,2.013
1993/3/18,2.031
1993/3/19,2.087
1993/3/20,#N/A
1993/3/21,#N/A
1993/3/22,2.042
1993/3/23,2.117
1993/3/24,2.224
1993/3/25,2.023
1993/3/26,1.975
1993/3/27,#N/A
1993/3/28,#N/A
1993/3/29,2.027
1993/3/30,2.042
1993/3/31,2.069
1993/4/1,2.037
1993/4/2,2.025
1993/4/3,#N/A
1993/4/4,#N/A
1993/4/5,2.093
1993/4/6,2.153
1993/4/7,2.154
1993/4/8,2.229
1993/4/9,#N/A
1993/4/10,#N/A
1993/4/11,#N/A
1993/4/12,2.344
1993/4/13,2.32
1993/4/14,2.364
1993/4/15,2.357
1993/4/16,2.391
1993/4/17,#N/A
1993/4/18,#N/A
1993/4/19,2.408
1993/4/20,2.442
1993/4/21,2.633
1993/4/22,2.728
1993/4/23,2.758
1993/4/24,#N/A
1993/4/25,#N/A
1993/4/26,2.317
1993/4/27,2.318
1993/4/28,2.354
1993/4/29,2.372
1993/4/30,2.365
1993/5/1,#N/A
1993/5/2,#N/A
1993/5/3,2.289
1993/5/4,2.317
1993/5/5,2.224
1993/5/6,2.174
1993/5/7,2.162
1993/5/8,#N/A
1993/5/9,#N/A
1993/5/10,2.082
1993/5/11,2.157
1993/5/12,2.215
1993/5/13,2.271
1993/5/14,2.262
1993/5/15,#N/A
1993/5/16,#N/A
1993/5/17,2.314
1993/5/18,2.349
1993/5/19,2.315
1993/5/20,2.322
1993/5/21,2.119
1993/5/22,#N/A
1993/5/23,#N/A
1993/5/24,2.009
1993/5/25,2.084
1993/5/26,2.086
1993/5/27,2.104
1993/5/28,2.141
1993/5/29,#N/A
1993/5/30,#N/A
1993/5/31,#N/A
1993/6/1,2.179
1993/6/2,2.108
1993/6/3,2.114
1993/6/4,2.11
1993/6/5,#N/A
1993/6/6,#N/A
1993/6/7,2.036
1993/6/8,2.126
1993/6/9,2.171
1993/6/10,2.141
1993/6/11,2.178
1993/6/12,#N/A
1993/6/13,#N/A
1993/6/14,2.2
1993/6/15,2.152
1993/6/16,2.193
1993/6/17,2.241
1993/6/18,2.255
1993/6/19,#N/A
1993/6/20,#N/A
1993/6/21,2.195
1993/6/22,2.086
1993/6/23,1.918
1993/6/24,2.159
1993/6/25,2.157
1993/6/26,#N/A
1993/6/27,#N/A
1993/6/28,2.197
1993/6/29,2.171
1993/6/30,2.181
1993/7/1,2.121
1993/7/2,2.104
1993/7/3,#N/A
1993/7/4,#N/A
1993/7/5,#N/A
1993/7/6,2.144
1993/7/7,2.158
1993/7/8,2.126
1993/7/9,2.153
1993/7/10,#N/A
1993/7/11,#N/A
1993/7/12,2.085
1993/7/13,2.081
1993/7/14,2.034
1993/7/15,2.031
1993/7/16,2.067
1993/7/17,#N/A
1993/7/18,#N/A
1993/7/19,2.024
1993/7/20,2.033
1993/7/21,2.095
1993/7/22,2.096
1993/7/23,2.121
1993/7/24,#N/A
1993/7/25,#N/A
1993/7/26,2.124
1993/7/27,2.11
1993/7/28,2.14
1993/7/29,2.181
1993/7/30,2.22
1993/7/31,#N/A
1993/8/1,#N/A
1993/8/2,2.216
1993/8/3,2.189
1993/8/4,2.2
1993/8/5,2.225
1993/8/6,2.203
1993/8/7,#N/A
1993/8/8,#N/A
1993/8/9,2.176
1993/8/10,2.218
1993/8/11,2.253
1993/8/12,2.296
